data:text/csv;charset=utf-8,Query: select sl.order_no, s.status, s.status_date, s.order_header_key, s.shipment_key, s.extn_picked_externally from yfs_shipment s,yfs_shipment_line sl where sl.shipment_key=s.shipment_key and  sl.order_header_key &gt;
RN,ORDER_NO,STATUS,STATUS_DATE,ORDER_HEADER_KEY,SHIPMENT_KEY,EXTN_PICKED_EXTERNALLY,
1,COCC11263415,1600.002.01,2023-01-01 00:39:37.0,null,'202301010005002700890222,N,
2,COCC11263416,1600.002.01,2023-01-01 01:35:29.0,null,'202301010013232700899084,N,
3,COCC11263418,1600.002.01,2023-01-01 01:08:42.0,null,'202301010012232700898795,N,
4,CO11406179,1600.002.01,2023-01-01 02:04:47.0,null,'202301010006572700890924,Y,
5,CO11406179,9000,2023-01-01 00:05:59.0,null,'202301010004592700890202,Y,
6,COCC11263419,1600.002.01,2023-01-01 01:05:29.0,null,'202301010010482700897788,Y,
7,COCC11263420,1600.002.01,2023-01-01 01:41:35.0,null,'202301010010492700897806,N,
8,CO11406225,1600.002.01,2023-01-01 01:05:34.0,null,'202301010008582700891885,Y,
9,CO11406225,1600.002.01,2023-01-01 01:05:34.0,null,'202301010008582700891885,Y,
10,CO11406225,1600.002.01,2023-01-01 01:05:34.0,null,'202301010008582700891885,Y,
11,CO11406225,1600.002.01,2023-01-01 01:05:34.0,null,'202301010008582700891885,Y,
12,CO11406180,1600.002.01,2023-01-01 00:38:44.0,null,'202301010008592700891921,Y,
13,COCC11263423,1600.002.01,2023-01-01 00:46:53.0,null,'202301010010502700897854,Y,
14,COCC11263423,1600.002.01,2023-01-01 00:46:53.0,null,'202301010010502700897854,Y,
15,COCC11263423,1600.002.01,2023-01-01 00:46:53.0,null,'202301010010502700897854,Y,
16,COCC11263424,1600.002.01,2023-01-01 02:08:17.0,null,'202301010018232700901914,Y,
17,COCC11263424,1600.002.01,2023-01-01 02:08:17.0,null,'202301010018232700901914,Y,
18,COCC11263424,1600.002.01,2023-01-01 02:08:17.0,null,'202301010018232700901914,Y,
19,COCC11263424,1600.002.01,2023-01-01 02:08:17.0,null,'202301010018232700901914,Y,
20,COCC11263424,1600.002.01,2023-01-01 02:08:17.0,null,'202301010018232700901914,Y,
21,COCC11263426,1600.002.01,2023-01-01 02:11:00.0,null,'202301010016232700900855,N,
22,COCC11263430,1600.002.01,2023-01-01 02:05:38.0,null,'202301010017232700901236,N,
23,COCC11263430,1600.002.01,2023-01-01 02:05:38.0,null,'202301010017232700901236,N,
24,COCC11263430,1600.002.01,2023-01-01 02:05:38.0,null,'202301010017232700901236,N,
25,COCC11263430,1600.002.01,2023-01-01 02:05:38.0,null,'202301010017232700901236,N,
26,COCC11263431,1600.002.01,2023-01-01 00:50:31.0,null,'202301010020232700905700,Y,
27,COCC11263435,1600.002.01,2023-01-01 13:08:56.0,null,'202301010018242700901977,Y,
28,CO11406284,1600.002.02,2023-01-01 16:20:01.0,null,'202301010018242700901956,Y,
29,COCC11263438,1600.002.02,2023-01-01 15:45:22.0,null,'202301010021232700909540,Y,
30,CO11406226,1600.002.01,2023-01-01 16:21:39.0,null,'202301010020252700906232,Y,
31,CO11406285,1600.002.01,2023-01-01 00:59:38.0,null,'202301010020252700906279,Y,
32,COCC11263439,1600.002.01,2023-01-01 01:20:15.0,null,'202301010021242700909558,N,
33,Y100133838,1600,2023-01-01 00:48:28.0,null,'202301010019312700903205,N,
34,Y100133838,1600,2023-01-01 00:48:28.0,null,'202301010019312700903205,N,
35,COCC11263441,1600.002.01,2023-01-01 01:28:43.0,null,'202301010023232700910467,Y,
36,COCC11263441,1600.002.01,2023-01-01 01:28:43.0,null,'202301010023232700910467,Y,
37,COCC11263441,1600.002.01,2023-01-01 01:28:43.0,null,'202301010023232700910467,Y,
38,COCC11263443,9000,2023-01-01 00:35:30.0,null,'202301010025242700912111,N,
39,COCC11263443,1600.002.01,2023-01-01 13:08:30.0,null,'202301010141082700979377,Y,
40,COCC11263444,1600.002.01,2023-01-01 01:36:46.0,null,'202301010026232700912395,Y,
41,COCC11263445,1600.002.01,2023-01-01 01:18:19.0,null,'202301010024232700911430,Y,
42,Y100133839,1600,2023-01-01 00:23:52.0,null,'202301010023142700910423,N,
43,CO11406227,1600.002.01,2023-01-01 17:03:24.0,null,'202301010025232700912031,N,
44,CO11406227,1600.002.01,2023-01-01 17:03:24.0,null,'202301010025232700912031,N,
45,CO11406227,1600.002.01,2023-01-01 17:03:24.0,null,'202301010025232700912031,N,
46,CO11406283,1600.002.01,2023-01-01 15:18:20.0,null,'202301010025232700912061,N,
47,CO11406282,1600.002.01,2023-01-02 14:25:05.0,null,'202301010025242700912081,Y,
48,CO11406282,1600.002.01,2023-01-02 14:25:05.0,null,'202301010025242700912081,Y,
49,CO11406282,1600.002.01,2023-01-02 14:25:05.0,null,'202301010025242700912081,Y,
50,COCC11263447,1600.002.01,2023-01-01 02:20:19.0,null,'202301010029102700913735,Y,
51,COCC11263447,1600.002.01,2023-01-01 02:20:19.0,null,'202301010029102700913735,Y,
52,COCC11263447,1600.002.01,2023-01-01 02:20:19.0,null,'202301010029102700913735,Y,
53,COCC11263447,1600.002.01,2023-01-01 02:20:19.0,null,'202301010029102700913735,Y,
54,COCC11263447,1600.002.01,2023-01-01 02:20:19.0,null,'202301010029102700913735,Y,
55,Y100133840,1600,2023-01-01 00:25:39.0,null,'202301010023592700910810,N,
56,Y100133840,1600,2023-01-01 00:25:39.0,null,'202301010023592700910810,N,
57,Y100133840,1600,2023-01-01 00:25:39.0,null,'202301010023592700910810,N,
58,COCC11263449,1600.002.01,2023-01-01 00:54:52.0,null,'202301010027232700912986,Y,
59,COCC11263451,1600.002.01,2023-01-01 02:16:04.0,null,'202301010031222700920145,N,
60,CO11406229,1600.002.01,2023-01-01 01:52:53.0,null,'202301010029092700913689,Y,
61,CO11406229,1600.002.01,2023-01-01 01:52:53.0,null,'202301010029092700913689,Y,
62,CO11406229,1600.002.01,2023-01-01 01:52:53.0,null,'202301010029092700913689,Y,
63,CO11406229,1600.002.01,2023-01-01 01:52:53.0,null,'202301010029092700913689,Y,
64,CO11406229,1600.002.01,2023-01-01 01:52:53.0,null,'202301010029092700913689,Y,
65,CO11406228,9000,2023-01-01 00:33:05.0,null,'202301010029092700913660,Y,
66,CO11406228,9000,2023-01-01 00:33:05.0,null,'202301010029092700913660,Y,
67,CO11406228,1600.002.01,2023-01-01 15:13:04.0,null,'202301010035212700921573,Y,
68,CO11406228,1600.002.01,2023-01-01 15:13:04.0,null,'202301010035212700921573,Y,
69,COCC11263452,9000,2023-01-01 02:49:02.0,null,'202301010031212700920119,Y,
70,COCC11263452,9000,2023-01-01 02:49:02.0,null,'202301010031212700920119,Y,
71,COCC11263453,1600.002.01,2023-01-01 13:07:57.0,null,'202301010035212700921590,N,
72,COCC11263455,1600.002.01,2023-01-01 02:45:35.0,null,'202301010037222700922285,N,
73,COCC11263455,1600.002.01,2023-01-01 02:45:35.0,null,'202301010037222700922285,N,
74,CO11406286,9000,2023-01-01 00:55:26.0,null,'202301010035222700921622,N,
75,CO11406286,9000,2023-01-01 00:55:26.0,null,'202301010035222700921622,N,
76,CO11406286,1600.002.01,2023-01-02 16:33:18.0,null,'202301010058102700940671,Y,
77,CO11406286,1600.002.01,2023-01-02 16:33:18.0,null,'202301010058102700940671,Y,
78,COCC11263456,1600.002.01,2023-01-01 03:57:49.0,null,'202301010040112700924699,Y,
79,COCC11263456,1600.002.01,2023-01-01 03:57:49.0,null,'202301010040112700924699,Y,
80,COCC11263457,1600.002.01,2023-01-01 02:05:45.0,null,'202301010038272700922495,N,
81,COCC11263459,1600.002.01,2023-01-01 01:21:48.0,null,'202301010040122700925036,N,
82,COCC11263459,1600.002.01,2023-01-01 01:21:48.0,null,'202301010040122700925036,N,
83,COCC11263459,1600.002.01,2023-01-01 01:21:48.0,null,'202301010040122700925036,N,
84,COCC11263461,1600.002.01,2023-01-01 01:32:57.0,null,'202301010042142700929522,N,
85,CO11406287,1600.002.01,2023-01-01 01:50:13.0,null,'202301010040122700924723,Y,
86,COCC11263462,1600.002.01,2023-01-01 02:20:30.0,null,'202301010048082700931780,Y,
87,COCC11263462,1600.002.01,2023-01-01 02:20:30.0,null,'202301010048082700931780,Y,
88,COCC11263462,1600.002.01,2023-01-01 02:20:30.0,null,'202301010048082700931780,Y,
89,COCC11263462,1600.002.01,2023-01-01 02:20:30.0,null,'202301010048082700931780,Y,
90,COCC11263462,1600.002.01,2023-01-01 02:20:30.0,null,'202301010048082700931780,Y,
91,CO11406288,1600.002.01,2023-01-01 01:09:25.0,null,'202301010044052700930350,N,
92,COCC11263466,1600.002.01,2023-01-01 02:38:41.0,null,'202301010046092700931314,Y,
93,CO11406231,1600.002.01,2023-01-01 01:31:49.0,null,'202301010048092700931845,N,
94,CO11406231,1600.002.01,2023-01-01 01:31:49.0,null,'202301010048092700931845,N,
95,CO11406232,1600.002.01,2023-01-01 18:02:39.0,null,'202301010048092700931867,N,
96,COCC11263467,1600.002.01,2023-01-01 01:34:56.0,null,'202301010052022700938524,N,
97,COCC11263467,1600.002.01,2023-01-01 01:34:56.0,null,'202301010052022700938524,N,
98,COCC11263468,1600.002.01,2023-01-01 14:47:12.0,null,'202301010055572700940107,Y,
99,COCC11263469,1600.002.01,2023-01-01 03:19:01.0,null,'202301010054062700939344,N,
100,COCC11263471,9000,2023-01-01 04:05:34.0,null,'202301010054072700939443,N,
101,CO11406290,9000,2023-01-01 01:04:05.0,null,'202301010054072700939394,N,
102,CO11406290,9000,2023-01-01 01:04:05.0,null,'202301010054072700939394,N,
103,CO11406290,9000,2023-01-01 01:04:05.0,null,'202301010054072700939394,N,
104,CO11406290,9000,2023-01-01 01:04:05.0,null,'202301010054072700939394,N,
105,CO11406290,9000,2023-01-01 01:04:05.0,null,'202301010054072700939394,N,
106,CO11406290,1600.002.01,2023-01-01 13:22:49.0,null,'202301010106012700948226,Y,
107,CO11406290,1600.002.01,2023-01-01 13:22:49.0,null,'202301010106012700948226,Y,
108,CO11406290,1600.002.01,2023-01-01 13:22:49.0,null,'202301010106012700948226,Y,
109,CO11406290,1600.002.01,2023-01-01 13:22:49.0,null,'202301010106012700948226,Y,
110,CO11406290,1600.002.01,2023-01-01 13:22:49.0,null,'202301010106012700948226,Y,
111,CO11406289,1600.002.01,2023-01-01 15:40:53.0,null,'202301010054062700939367,Y,
112,COCC11263475,9000,2023-01-01 03:41:03.0,null,'202301010237182701018839,N,
